ID,Caption,CUIs,CUI_caption,keywords
ROCOv2_2023_train_000001,Head CT demonstrating left parotiditis.,C0040405,X-Ray Computed Tomography,"X-ray, Parotid gland, Side view, Left parotitis."
ROCOv2_2023_train_000002,Acquired renal cysts in end-stage renal failure: 16-year-old girl with Alport syndrome and peritoneal dialysis from the age of 2 years,C0041618,Ultrasonography,"Ultrasound, Kidney, Longitudinal view of, Renal failure."
ROCOv2_2023_train_000006,5.1 cm x 3.4 cm x 4 cm multiloculated hepatic abscess in the inferior posterior aspect of the right lobe,C0040405,X-Ray Computed Tomography,"X-ray, Liver, Side, Multiloculated abscess."
ROCOv2_2023_train_000010,Preop CT showing left orbital floor fracture,C0040405,X-Ray Computed Tomography,"X-ray, Orbit, Floor of Orbit from below, Fracture."
ROCOv2_2023_train_000011,Postop 22-month CT scan (sagittal): Posteriorly the graft seated in a sound bone,C0040405,X-Ray Computed Tomography,"X-ray, Spine, Sagittal View, Normal."
ROCOv2_2023_train_000015,CT demonstrating partially obstructed airway.CT: computed tomography.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Airway, Oblique View of, Partially Obstructed Airway."
ROCOv2_2023_train_000017,Strawberry skull.,C0041618;C0037303,Ultrasonography;Bone structure of cranium,"Skull, Cranium, Frontal view, Normal"
ROCOv2_2023_train_000018,Hypotelorism.,C0041618,Ultrasonography,"Ultrasonography, Hip, Frontal view, Normal."
ROCOv2_2023_train_000019,Low set ears.,C0041618,Ultrasonography,"Ultrasonography, Ear, Side, Low set ears."
ROCOv2_2023_train_000021,Single umbilical artery seen on axial section.,C0041618,Ultrasonography,"Sonogram, Abdomen, Axial section, Single umbilical artery."
ROCOv2_2023_train_000029,Coronal view of the intra-nasal foreign body.,C0040405,X-Ray Computed Tomography,"X-ray, Nasal cavity, Coronal view, Normal"
ROCOv2_2023_train_000032,Chest radiograph showing reticular opacities prominent in bilateral mid and lower zones.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Posterior-anterior view, Reticular opacities in bilateral mid and lower zones."
ROCOv2_2023_train_000034,Follow up chest radiograph after 4 weeks showing radiological resolution.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Posterior view, Normal."
ROCOv2_2023_train_000037,Ventricular fibrillation.,C0002978,angiogram,"Angiogram, Heart, Arterial View, Ventricular Fibrillation."
ROCOv2_2023_train_000041,Chest X-ray showing bilateral clavicular hypoplasia.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Posterior-Anterior, Bilateral clavicular hypoplasia."
ROCOv2_2023_train_000046,CT of the abdomen showing hepatomegaly,C0040405;C0000726,X-Ray Computed Tomography;Abdomen,"Computed Tomography, Abdomen, Hepatomegaly, Hepatomegaly"
ROCOv2_2023_train_000049,FB (cutlery handle) in the DII,C1306645;C0000726;C1996865,Plain x-ray;Abdomen;Postero-Anterior,"X-ray, Abdomen, Posterior-anterior view, Normal"
ROCOv2_2023_train_000051,Abdominal computed tomography shows an enterolith (white arrow) measuring 3 cm in the proximal afferent loop.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Abdomen, Side view of Image, Enterolith."
ROCOv2_2023_train_000066,Oblique coronal slices,C0024485,Magnetic Resonance Imaging,"Magnetic Resonance Imaging, Coronal slice of Spine, Oblique view, Normal."
ROCOv2_2023_train_000072,CT scan showing lesion in right hemimandible.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Right Hemimandible, Side View, Lesion"
ROCOv2_2023_train_000091,Chest X-ray showing no evidence of acute lung pathology.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Postero-anterior, Normal"
ROCOv2_2023_train_000100,Upper GI contrast study after gastric banding showing rapid transit past the band (arrows) indicating that it is too loose.,C0002978,angiogram,"Upper GI study, Abdomen, Contrast view of side, Normal."
ROCOv2_2023_train_000108,Chest radiograph demonstrating a right-sided apical cavitary lesion (yellow arrow) and a chemotherapy port (blue arrow).,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Postero-anterior, Apical cavitary lesion."
ROCOv2_2023_train_000114,"Mycoplasma pneumonia: area of consolidation (lung hepatization) with blurred margins and disappearance of pleural line. Adjacent to the affected area, evidence of normal A-lines, i.e., hyperechoic horizontal lines deeper than visible pleural line, parallel and equidistant from one another that are able to exclude the presence of lung pathologies in the scanned area.",C0041618,Ultrasonography,"Ultrasound, Lung, Bottom, Mycoplasma pneumonia."
ROCOv2_2023_train_000123,Chest X-ray at day of admission.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Postero-Anterior, Normal"
ROCOv2_2023_train_000124,CT chest on presentation.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Chest, Front View, Normal"
ROCOv2_2023_train_000127,Well-defined solid homogeneous mediastinal mass in chest CT scan of case 1.,C0040405,X-Ray Computed Tomography,"X-ray, Chest, Front view, Normal"
ROCOv2_2023_train_000141,Large cervicomediastinal mass (coronal view).,C0040405,X-Ray Computed Tomography,"X-ray, Chest, Coronal view, Large mass."
ROCOv2_2023_train_000142,Postthyroidectomy airway.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Thyroid, Side, Post-thyroidectomy airway. Normal."
ROCOv2_2023_train_000143,Radiographic example of acceptable root canal obturation.,C1306645;C0037303,Plain x-ray;Bone structure of cranium,"X-ray, Cranium, Plain View, Normal"
ROCOv2_2023_train_000145,Hydatid cyst (Red arrow) and collapsed membranes (Yellow arrow).,C0024485,Magnetic Resonance Imaging,"Magnetic Resonance Imaging, Liver, Inside, Hydatid cyst."
ROCOv2_2023_train_000159,A transverse view of the CT scan showing a subdiaphragmatic collection (red arrow).CT: Computed tomography.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Abdomen, Transverse View, Subdiaphragmatic Collection."
ROCOv2_2023_train_000160,A sagittal view of the CT scan showing a subdiaphragmatic collection (red arrows).CT: Computed tomography.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Abdomen, Sagittal View of the Bottom, Subdiaphragmatic Collection."
ROCOv2_2023_train_000174,TEE continuous wave showing severe mitral regurgitation.,C0041618,Ultrasonography,"Echocardiogram, Heart, Continuous wave, Severe mitral regurgitation."
ROCOv2_2023_train_000176,Angiogram showing atherosclerotic RAS,C0002978,angiogram,"Angiogram, Artery, Lateral view of stenosis, Atherosclerosis."
ROCOv2_2023_train_000177,Placement of stent in an ostial RAS.,C0002978,angiogram,"Angiogram, Artery, Anterior view, Right Aortic Stem obstruction."
ROCOv2_2023_train_000178,"Anterior chest X-ray of the centenarian patient showed a thickening of the peribronchial and bronchilovascular interstitium, probably due to interstitial disease.",C1306645;C0817096;C1999039,Plain x-ray;Chest;Anterior-Posterior,"X-ray, Chest, Anterior view, Interstitial disease."
ROCOv2_2023_train_000182,Chest x-ray showing bilateral diffuse non-homogenous opacities.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Posterior-Anterior View, Bilateral Diffuse Non-Homogenous Opacities."
ROCOv2_2023_train_000192,Preoperative magnetic resonance imaging with enhancement. Coronal view of a T2-weighted fat-suppressed image.,C0024485,Magnetic Resonance Imaging,"Magnetic Resonance Image, Spine, Coronal View, Normal."
ROCOv2_2023_train_000204,Chest X-ray posterior-anterior view showing no features that indicate a mass lesion.,C1306645;C0817096;C1999039,Plain x-ray;Chest;Anterior-Posterior,"X-ray, Chest, Posterior-anterior view, Normal."
ROCOv2_2023_train_000206,"Computer tomography findings at diagnosis, showing large mediastinal mass (arrow).",C0040405,X-Ray Computed Tomography,"X-ray computed tomography, Mediastinum, Side view of Image, Large mass."
ROCOv2_2023_train_000211,Chest radiograph shows focal consolidation of the right lower lung.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Lungs, Postero-anterior, Focal consolidation on the right lower lung."
ROCOv2_2023_train_000213,A preoperative panoramic radiograph.,C1306645;C0037303,Plain x-ray;Bone structure of cranium,"X-ray, Cranium, Panoramic, Normal"
ROCOv2_2023_train_000214,Panoramic radiograph at 60-month follow-up.,C1306645;C0037303,Plain x-ray;Bone structure of cranium,"X-ray, Cranium, Panoramic view, Normal"
ROCOv2_2023_train_000215,T1-weighted MRI scan of Guyon's canal. The arrow indicates the fatty mass reported as lying atop Guyon's canal.,C0024485,Magnetic Resonance Imaging,"MRI, Guyon's canal, T1-weighted image, Normal."
ROCOv2_2023_train_000228,cervical CT axial view: increased angulation of the right C1 anterior arch fracture (blue arrow),C0040405,X-Ray Computed Tomography,"X-ray, Cervical Spine, Axial View, Fracture"
ROCOv2_2023_train_000229,Magnetic resonance imaging (MRI) at 15 min since contrast injection. MRI enhanced with gadoxetate sodium showing a faint uptake of the contrast medium at the central area of the hepatic mass,C0024485,Magnetic Resonance Imaging,"T2 weighted magnetic resonance imaging, liver, axial, Normal."
